Invoice Number,Invoice Date,Total Amount,Provider,Location
INV-000039,2025-06-20,2600.94,Eye Care BigTown,BigTown
INV-000040,2025-08-05,4813.48,Eye Care BigTown,Smallville
INV-000041,2025-01-23,4473.59,EyeCare Smallville,BigTown
INV-000042,2025-04-18,875.82,EyeCare Smallville,Smallville
INV-000043,2025-02-09,4491.76,Eye Care BigTown,BigTown
INV-000044,2025-02-12,4998.82,Eye Care BigTown,Smallville
INV-000045,2025-07-11,4164.64,EyeCare Smallville,BigTown
INV-000046,2025-04-01,2428.78,Eye Care BigTown,Smallville
INV-000047,2025-03-30,4659.55,Eye Care BigTown,Smallville
INV-000048,2025-08-12,1478.56,Eye Care BigTown,BigTown
INV-000049,2025-08-14,500.17,EyeCare Smallville,BigTown
INV-000050,2025-07-07,1316.43,EyeCare Smallville,Smallville
INV-000051,2025-08-14,3236.4,EyeCare Smallville,BigTown
INV-000052,2025-08-04,1236.66,EyeCare Smallville,Smallville
INV-000053,2025-02-03,1390.33,EyeCare Smallville,Smallville
INV-000054,2025-06-19,3825.54,Eye Care BigTown,Smallville
INV-000055,2025-08-09,3569.33,EyeCare Smallville,Smallville
INV-000056,2025-08-18,2643.93,Eye Care BigTown,BigTown
INV-000057,2025-08-08,1227.75,Eye Care BigTown,Smallville
INV-000058,2025-03-31,4191.21,EyeCare Smallville,Smallville
INV-000059,2025-02-18,3623.72,EyeCare Smallville,BigTown
INV-000060,2025-05-07,3830.45,Eye Care BigTown,BigTown
INV-000061,2025-08-08,527.4,Eye Care BigTown,Smallville
INV-000062,2025-05-13,2049.27,EyeCare Smallville,Smallville
INV-000063,2025-08-17,4839.49,Eye Care BigTown,Smallville
INV-000064,2025-09-01,2507.05,EyeCare Smallville,Smallville
INV-000065,2025-03-13,2497.19,Eye Care BigTown,BigTown
INV-000066,2025-04-01,2404.28,EyeCare Smallville,BigTown
INV-000067,2025-07-09,2504.22,EyeCare Smallville,Smallville
INV-000068,2025-04-20,2030.07,EyeCare Smallville,BigTown
INV-000069,2025-05-10,2088.61,Eye Care BigTown,Smallville
INV-000070,2025-02-12,2130.37,EyeCare Smallville,Smallville
INV-000071,2025-04-30,2360.08,Eye Care BigTown,Smallville
INV-000072,2025-02-01,3378.46,EyeCare Smallville,BigTown
INV-000073,2025-06-21,1855.01,Eye Care BigTown,BigTown
INV-000074,2025-07-13,2073.44,Eye Care BigTown,Smallville
INV-000075,2025-04-03,1795.38,EyeCare Smallville,Smallville
INV-000076,2025-08-11,3415.36,EyeCare Smallville,BigTown
INV-000077,2025-02-13,3652.95,Eye Care BigTown,Smallville
INV-000078,2025-01-23,1594.63,Eye Care BigTown,BigTown
INV-000079,2025-05-20,1832.33,Eye Care BigTown,Smallville
INV-000080,2025-04-23,3127.95,EyeCare Smallville,BigTown
INV-000081,2025-06-24,1532.66,EyeCare Smallville,BigTown
INV-000082,2025-05-18,3392.75,Eye Care BigTown,Smallville
INV-000083,2025-05-25,3160.95,Eye Care BigTown,Smallville
INV-000084,2025-07-01,4177.38,Eye Care BigTown,BigTown
INV-000085,2025-05-25,4160.87,Eye Care BigTown,Smallville
INV-000086,2025-07-01,3380.2,Eye Care BigTown,Smallville
INV-000087,2025-08-13,4944.18,Eye Care BigTown,BigTown
INV-000088,2025-02-02,2678.27,EyeCare Smallville,Smallville
INV-000089,2025-01-03,2273.63,Eye Care BigTown,BigTown
INV-000090,2025-03-19,3646.39,EyeCare Smallville,BigTown
INV-000091,2025-06-22,1325.22,EyeCare Smallville,Smallville
INV-000092,2025-05-17,4784.3,EyeCare Smallville,Smallville
INV-000093,2025-01-24,1646.94,EyeCare Smallville,BigTown
INV-000094,2025-02-01,4075.68,EyeCare Smallville,Smallville
INV-000095,2025-01-22,4846.63,Eye Care BigTown,BigTown
INV-000096,2025-07-05,4834.48,Eye Care BigTown,BigTown
INV-000097,2025-05-06,2169.2,EyeCare Smallville,Smallville
INV-000098,2025-04-15,1804.63,EyeCare Smallville,Smallville
INV-000099,2025-01-09,1447.31,Eye Care BigTown,BigTown
INV-000100,2025-04-24,4485.27,Eye Care BigTown,BigTown
INV-000101,2025-06-24,2995.72,EyeCare Smallville,BigTown
INV-000102,2025-04-12,1743.2,Eye Care BigTown,BigTown
INV-000103,2025-08-01,645.88,EyeCare Smallville,BigTown
INV-000104,2025-04-10,3918.28,EyeCare Smallville,BigTown
INV-000105,2025-05-04,3705.02,EyeCare Smallville,BigTown
INV-000106,2025-08-20,746.97,EyeCare Smallville,Smallville
INV-000107,2025-05-23,3018.86,EyeCare Smallville,Smallville
INV-000108,2025-02-22,3173.56,Eye Care BigTown,Smallville
INV-000109,2025-02-14,3289.32,EyeCare Smallville,BigTown
INV-000110,2025-03-16,4793.25,Eye Care BigTown,BigTown
INV-000111,2025-04-30,3819.96,Eye Care BigTown,Smallville
INV-000112,2025-03-05,1033.41,EyeCare Smallville,BigTown
INV-000113,2025-03-14,2713.72,EyeCare Smallville,BigTown
INV-000114,2025-05-27,4310.5,Eye Care BigTown,Smallville
INV-000115,2025-08-29,3844.81,Eye Care BigTown,BigTown
INV-000116,2025-07-14,3762.32,EyeCare Smallville,Smallville
INV-000117,2025-08-16,4774.67,Eye Care BigTown,Smallville
INV-000118,2025-02-23,2439.16,Eye Care BigTown,Smallville
INV-000119,2025-08-16,3839.63,Eye Care BigTown,Smallville
INV-000120,2025-07-14,1678.16,Eye Care BigTown,Smallville
INV-000121,2025-03-29,2095.02,EyeCare Smallville,Smallville
INV-000122,2025-01-30,1520.9,EyeCare Smallville,BigTown
INV-000123,2025-08-26,4845.44,Eye Care BigTown,BigTown
INV-000124,2025-08-06,1156.94,Eye Care BigTown,BigTown
INV-000125,2025-03-01,2032.62,Eye Care BigTown,Smallville
INV-000126,2025-04-01,714.43,EyeCare Smallville,BigTown
INV-000127,2025-08-18,3577.41,EyeCare Smallville,BigTown
INV-000128,2025-03-24,3121.43,EyeCare Smallville,BigTown
INV-000129,2025-04-13,3589.09,Eye Care BigTown,BigTown
INV-000130,2025-07-12,1197.58,Eye Care BigTown,Smallville
INV-000131,2025-04-26,999.41,Eye Care BigTown,Smallville
INV-000132,2025-02-04,1997.47,Eye Care BigTown,Smallville
INV-000133,2025-08-19,2986.44,Eye Care BigTown,Smallville
INV-000134,2025-08-22,4282.83,Eye Care BigTown,BigTown
INV-000135,2025-07-14,1187.66,EyeCare Smallville,BigTown
INV-000136,2025-03-01,2474.7,EyeCare Smallville,Smallville
INV-000137,2025-05-26,2066.02,EyeCare Smallville,Smallville
INV-000138,2025-06-11,1543.31,EyeCare Smallville,Smallville
INV-000139,2025-07-24,930.54,Eye Care BigTown,Smallville
INV-000140,2025-01-28,1778.02,Eye Care BigTown,Smallville
INV-000141,2025-03-14,1464.97,EyeCare Smallville,BigTown
INV-000142,2025-01-07,3128.72,EyeCare Smallville,Smallville
INV-000143,2025-02-08,2619.53,EyeCare Smallville,Smallville
INV-000144,2025-08-04,3939.71,Eye Care BigTown,Smallville
INV-000145,2025-03-24,1574.49,Eye Care BigTown,BigTown
INV-000146,2025-01-06,688.83,EyeCare Smallville,Smallville
INV-000147,2025-06-11,2949.09,Eye Care BigTown,BigTown
INV-000148,2025-07-16,3169.03,EyeCare Smallville,Smallville
INV-000149,2025-05-19,1060.23,EyeCare Smallville,Smallville
INV-000150,2025-02-06,4418.45,EyeCare Smallville,Smallville
INV-000151,2025-01-13,646.06,EyeCare Smallville,Smallville
INV-000152,2025-04-20,916.1,EyeCare Smallville,BigTown
INV-000153,2025-06-03,2212.37,Eye Care BigTown,BigTown
INV-000154,2025-09-02,1146.14,EyeCare Smallville,BigTown
INV-000155,2025-05-09,3202.51,Eye Care BigTown,BigTown
INV-000156,2025-02-17,3522.37,EyeCare Smallville,Smallville
INV-000157,2025-02-27,3292.91,Eye Care BigTown,BigTown
INV-000158,2025-03-24,2970.88,Eye Care BigTown,BigTown
INV-000159,2025-07-29,1359.75,EyeCare Smallville,BigTown
INV-000160,2025-05-09,3124.97,Eye Care BigTown,BigTown
INV-000161,2025-05-25,4991.41,EyeCare Smallville,Smallville
INV-000162,2025-05-31,1674.78,Eye Care BigTown,BigTown
INV-000163,2025-05-29,682.71,Eye Care BigTown,Smallville
INV-000164,2025-07-02,2755.34,EyeCare Smallville,Smallville
INV-000165,2025-08-25,1799.3,Eye Care BigTown,Smallville
INV-000166,2025-07-15,1717.35,Eye Care BigTown,BigTown
INV-000167,2025-03-11,2312.79,Eye Care BigTown,Smallville
INV-000168,2025-03-29,3047.51,EyeCare Smallville,BigTown
INV-000169,2025-08-29,825.1,Eye Care BigTown,Smallville
INV-000170,2025-04-21,3867.69,Eye Care BigTown,BigTown
INV-000171,2025-04-02,3614.73,EyeCare Smallville,Smallville
INV-000172,2025-08-28,1147.25,Eye Care BigTown,Smallville
INV-000173,2025-03-10,3895.28,Eye Care BigTown,BigTown
INV-000174,2025-04-30,4209.69,Eye Care BigTown,Smallville
INV-000175,2025-01-03,4507.11,Eye Care BigTown,Smallville
INV-000176,2025-08-27,692.22,EyeCare Smallville,Smallville
INV-000177,2025-01-30,2880.24,Eye Care BigTown,Smallville
INV-000178,2025-03-17,3613.7,Eye Care BigTown,Smallville
INV-000179,2025-08-09,4660.44,Eye Care BigTown,BigTown
INV-000180,2025-07-14,1999.57,Eye Care BigTown,BigTown
INV-000181,2025-01-15,4030.54,Eye Care BigTown,Smallville
INV-000182,2025-01-22,4128.02,Eye Care BigTown,BigTown
INV-000183,2025-01-02,4744.19,Eye Care BigTown,Smallville
INV-000184,2025-02-21,1698.37,EyeCare Smallville,Smallville
INV-000185,2025-05-05,2647.94,EyeCare Smallville,BigTown
INV-000186,2025-08-02,2513.53,EyeCare Smallville,Smallville
INV-000187,2025-03-25,3650.41,EyeCare Smallville,Smallville
INV-000188,2025-02-23,627.42,Eye Care BigTown,Smallville
INV-000189,2025-05-22,552.19,EyeCare Smallville,BigTown
INV-000190,2025-06-09,2249.8,Eye Care BigTown,BigTown
INV-000191,2025-06-28,4512.81,EyeCare Smallville,BigTown
INV-000192,2025-04-17,971.24,EyeCare Smallville,Smallville
INV-000193,2025-05-01,898.9,Eye Care BigTown,BigTown
INV-000194,2025-07-15,807.22,Eye Care BigTown,Smallville
INV-000195,2025-08-28,3480.63,EyeCare Smallville,BigTown
INV-000196,2025-09-02,776.09,EyeCare Smallville,Smallville
INV-000197,2025-02-01,3120.27,Eye Care BigTown,BigTown
INV-000198,2025-08-04,3848.14,Eye Care BigTown,Smallville
INV-000199,2025-02-03,4918.8,Eye Care BigTown,BigTown
INV-000200,2025-08-13,1977.87,Eye Care BigTown,BigTown
INV-000201,2025-04-03,1581.05,EyeCare Smallville,BigTown
INV-000202,2025-04-26,816.65,Eye Care BigTown,Smallville
INV-000203,2025-05-04,4023.03,EyeCare Smallville,Smallville
INV-000204,2025-01-20,2885.46,EyeCare Smallville,Smallville
INV-000205,2025-05-09,1332.31,EyeCare Smallville,BigTown
INV-000206,2025-08-21,2401.6,Eye Care BigTown,BigTown
INV-000207,2025-02-03,4377.29,EyeCare Smallville,Smallville
INV-000208,2025-01-18,2263.27,EyeCare Smallville,Smallville
INV-000209,2025-01-18,3648.98,EyeCare Smallville,Smallville
INV-000210,2025-01-21,620.24,EyeCare Smallville,BigTown
INV-000211,2025-08-09,3120.8,EyeCare Smallville,BigTown
INV-000212,2025-08-12,2170.15,EyeCare Smallville,Smallville
INV-000213,2025-01-19,1623.62,Eye Care BigTown,Smallville
INV-000214,2025-05-13,4235.22,Eye Care BigTown,Smallville
INV-000215,2025-01-31,1240.34,Eye Care BigTown,Smallville
INV-000216,2025-06-14,2121.25,EyeCare Smallville,BigTown
INV-000217,2025-05-12,4670.15,Eye Care BigTown,Smallville
INV-000218,2025-05-09,2730.35,EyeCare Smallville,BigTown
INV-000219,2025-04-30,2131.98,Eye Care BigTown,BigTown
INV-000220,2025-03-05,4659.97,EyeCare Smallville,Smallville
INV-000221,2025-05-03,3492.37,Eye Care BigTown,BigTown
INV-000222,2025-04-10,3232.31,Eye Care BigTown,BigTown
INV-000223,2025-03-22,1553.27,EyeCare Smallville,Smallville
INV-000224,2025-08-09,4804.23,EyeCare Smallville,BigTown
INV-000225,2025-04-16,1955.2,Eye Care BigTown,Smallville
INV-000226,2025-02-01,3345.6,EyeCare Smallville,BigTown
INV-000227,2025-02-28,4159.77,EyeCare Smallville,Smallville
INV-000228,2025-03-15,3682.04,EyeCare Smallville,BigTown
INV-000229,2025-07-11,2515.76,EyeCare Smallville,BigTown
INV-000230,2025-08-12,1623.48,Eye Care BigTown,Smallville
INV-000231,2025-07-05,1101.77,EyeCare Smallville,Smallville
INV-000232,2025-01-23,4084.35,EyeCare Smallville,Smallville
INV-000233,2025-01-22,706.32,EyeCare Smallville,Smallville
INV-000234,2025-08-12,3922.15,Eye Care BigTown,Smallville
INV-000235,2025-08-04,2923.31,EyeCare Smallville,Smallville
INV-000236,2025-05-09,2955.18,Eye Care BigTown,BigTown
INV-000237,2025-03-17,4607.45,Eye Care BigTown,BigTown
INV-000238,2025-02-24,3160.34,Eye Care BigTown,BigTown
INV-000239,2025-07-05,525.53,Eye Care BigTown,BigTown
INV-000240,2025-06-21,3787.33,EyeCare Smallville,BigTown
INV-000241,2025-08-29,508.3,EyeCare Smallville,Smallville
INV-000242,2025-07-03,4329.74,Eye Care BigTown,Smallville
INV-000243,2025-06-03,1871.87,EyeCare Smallville,BigTown
INV-000244,2025-07-17,2543.07,Eye Care BigTown,BigTown
INV-000245,2025-08-28,4264.26,Eye Care BigTown,BigTown
INV-000246,2025-08-04,1710.09,EyeCare Smallville,BigTown
INV-000247,2025-09-01,3464.54,Eye Care BigTown,Smallville
INV-000248,2025-02-27,3495.14,EyeCare Smallville,Smallville
INV-000249,2025-01-12,2491.51,EyeCare Smallville,Smallville
INV-000250,2025-03-17,1785.05,Eye Care BigTown,BigTown
INV-000251,2025-05-18,1414.13,EyeCare Smallville,Smallville
INV-000252,2025-04-02,1568.18,EyeCare Smallville,Smallville
INV-000253,2025-07-31,2937.4,Eye Care BigTown,Smallville
INV-000254,2025-07-02,4982.77,EyeCare Smallville,Smallville
INV-000255,2025-07-11,1720.87,Eye Care BigTown,BigTown
INV-000256,2025-04-08,3696.43,EyeCare Smallville,BigTown
INV-000257,2025-05-24,2028.98,EyeCare Smallville,Smallville
INV-000258,2025-05-05,2964.47,Eye Care BigTown,BigTown
INV-000259,2025-05-02,4300.4,Eye Care BigTown,Smallville
INV-000260,2025-03-24,2234.45,Eye Care BigTown,Smallville
INV-000261,2025-09-02,934.96,EyeCare Smallville,BigTown
INV-000262,2025-06-20,1622.65,Eye Care BigTown,Smallville
INV-000263,2025-05-21,2494.2,EyeCare Smallville,BigTown
INV-000264,2025-03-25,678.25,Eye Care BigTown,Smallville
INV-000265,2025-03-10,3477.75,EyeCare Smallville,Smallville
INV-000266,2025-08-11,1525.64,Eye Care BigTown,BigTown
INV-000267,2025-04-12,1892.82,EyeCare Smallville,Smallville
INV-000268,2025-02-05,3037.09,EyeCare Smallville,BigTown
INV-000269,2025-06-02,4562.39,Eye Care BigTown,Smallville
INV-000270,2025-02-25,1296.74,Eye Care BigTown,Smallville
INV-000271,2025-01-29,3013.62,Eye Care BigTown,Smallville
INV-000272,2025-07-26,1715.78,EyeCare Smallville,Smallville
INV-000273,2025-06-29,3440.43,EyeCare Smallville,BigTown
INV-000274,2025-06-03,3112.1,Eye Care BigTown,Smallville
INV-000275,2025-02-28,2549.6,Eye Care BigTown,Smallville
INV-000276,2025-06-21,3069.74,Eye Care BigTown,BigTown
INV-000277,2025-07-16,728.73,Eye Care BigTown,BigTown
INV-000278,2025-04-27,3311.59,Eye Care BigTown,BigTown
INV-000279,2025-05-31,1577.8,Eye Care BigTown,BigTown
INV-000280,2025-06-04,2991.26,Eye Care BigTown,Smallville
INV-000281,2025-04-10,4457.79,Eye Care BigTown,Smallville
INV-000282,2025-07-04,3783.17,Eye Care BigTown,Smallville
INV-000283,2025-08-03,1123.52,EyeCare Smallville,BigTown
INV-000284,2025-04-26,2514.06,EyeCare Smallville,BigTown
INV-000285,2025-05-07,3964.09,EyeCare Smallville,BigTown
INV-000286,2025-04-17,603.36,EyeCare Smallville,Smallville
INV-000287,2025-04-10,3503.25,Eye Care BigTown,BigTown
INV-000288,2025-06-03,1902.73,EyeCare Smallville,BigTown
INV-000289,2025-03-02,2107.44,EyeCare Smallville,BigTown
INV-000290,2025-08-15,2918.02,EyeCare Smallville,Smallville
INV-000291,2025-03-21,4785.71,EyeCare Smallville,Smallville
INV-000292,2025-02-21,3912.82,EyeCare Smallville,BigTown
INV-000293,2025-02-12,732.33,Eye Care BigTown,Smallville
INV-000294,2025-03-26,507.37,Eye Care BigTown,BigTown
INV-000295,2025-03-15,2462.23,EyeCare Smallville,BigTown
INV-000296,2025-05-31,982.29,EyeCare Smallville,Smallville
INV-000297,2025-05-15,2895.52,Eye Care BigTown,BigTown
INV-000298,2025-04-02,2172.82,EyeCare Smallville,BigTown
INV-000299,2025-01-22,4788.15,Eye Care BigTown,Smallville
INV-000300,2025-04-12,2100.79,EyeCare Smallville,BigTown
INV-000301,2025-05-07,2767.71,Eye Care BigTown,BigTown
INV-000302,2025-07-29,3361.16,EyeCare Smallville,Smallville
INV-000303,2025-02-12,4599.87,EyeCare Smallville,Smallville
INV-000304,2025-06-01,2070.54,Eye Care BigTown,Smallville
INV-000305,2025-07-27,4482.6,EyeCare Smallville,BigTown
INV-000306,2025-01-18,3572.78,Eye Care BigTown,BigTown
INV-000307,2025-02-01,3546.23,Eye Care BigTown,Smallville
INV-000308,2025-05-01,2399.26,EyeCare Smallville,BigTown
INV-000309,2025-05-20,599.94,EyeCare Smallville,BigTown
INV-000310,2025-06-26,1378.91,Eye Care BigTown,BigTown
INV-000311,2025-06-10,2429.46,Eye Care BigTown,BigTown
INV-000312,2025-07-24,2838.6,Eye Care BigTown,Smallville
INV-000313,2025-02-11,2825.27,EyeCare Smallville,Smallville
INV-000314,2025-08-17,3916.46,EyeCare Smallville,Smallville
INV-000315,2025-05-31,4556.06,Eye Care BigTown,BigTown
INV-000316,2025-06-27,3227.12,Eye Care BigTown,BigTown
INV-000317,2025-05-30,1485.24,Eye Care BigTown,Smallville
INV-000318,2025-08-02,2466.83,EyeCare Smallville,Smallville
INV-000319,2025-05-19,2619.44,EyeCare Smallville,Smallville
INV-000320,2025-03-03,3573.7,EyeCare Smallville,BigTown
INV-000321,2025-04-08,774.3,EyeCare Smallville,Smallville
INV-000322,2025-05-19,3448.17,Eye Care BigTown,Smallville
INV-000323,2025-06-16,3804.38,Eye Care BigTown,BigTown
INV-000324,2025-01-15,4526.54,EyeCare Smallville,Smallville
INV-000325,2025-01-03,2325.98,Eye Care BigTown,Smallville
INV-000326,2025-05-06,630.04,EyeCare Smallville,BigTown
INV-000327,2025-01-07,717.49,Eye Care BigTown,BigTown
INV-000328,2025-08-28,4577.84,EyeCare Smallville,BigTown
INV-000329,2025-08-16,4879.1,EyeCare Smallville,BigTown
INV-000330,2025-01-01,3358.92,EyeCare Smallville,Smallville
INV-000331,2025-01-06,4407.39,Eye Care BigTown,BigTown
INV-000332,2025-06-09,1309.55,Eye Care BigTown,BigTown
INV-000333,2025-05-06,2882.46,Eye Care BigTown,Smallville
INV-000334,2025-06-29,3670.22,Eye Care BigTown,Smallville
INV-000335,2025-05-11,3432.08,EyeCare Smallville,BigTown
INV-000336,2025-01-13,953.33,EyeCare Smallville,BigTown
INV-000337,2025-06-15,2731.18,EyeCare Smallville,BigTown
INV-000338,2025-06-15,1289.49,Eye Care BigTown,BigTown
INV-000339,2025-02-26,1139.32,Eye Care BigTown,BigTown
INV-000340,2025-01-19,2339.63,EyeCare Smallville,Smallville
INV-000341,2025-06-07,4535.33,Eye Care BigTown,BigTown
INV-000342,2025-03-11,3145.93,EyeCare Smallville,Smallville
INV-000343,2025-03-07,712.4,Eye Care BigTown,Smallville
INV-000344,2025-05-24,1662.31,EyeCare Smallville,BigTown
INV-000345,2025-01-01,1370.49,EyeCare Smallville,BigTown
INV-000346,2025-07-15,1442.62,Eye Care BigTown,Smallville
INV-000347,2025-08-16,885.64,EyeCare Smallville,BigTown
INV-000348,2025-05-20,1936.21,Eye Care BigTown,Smallville
INV-000349,2025-07-17,3661.14,Eye Care BigTown,Smallville
INV-000350,2025-08-20,4632.85,EyeCare Smallville,BigTown
INV-000351,2025-03-25,3505.95,EyeCare Smallville,BigTown
INV-000352,2025-08-27,3655.01,EyeCare Smallville,Smallville
INV-000353,2025-01-18,1496.93,Eye Care BigTown,Smallville
INV-000354,2025-05-15,4896.45,Eye Care BigTown,Smallville
INV-000355,2025-06-20,2885.45,EyeCare Smallville,Smallville
INV-000356,2025-04-01,1159.3,EyeCare Smallville,Smallville
INV-000357,2025-01-18,894.8,EyeCare Smallville,BigTown
INV-000358,2025-07-10,1909.82,Eye Care BigTown,BigTown
INV-000359,2025-06-11,1602.94,EyeCare Smallville,Smallville
INV-000360,2025-07-05,3452.48,Eye Care BigTown,Smallville
INV-000361,2025-08-14,4916.27,Eye Care BigTown,Smallville
INV-000362,2025-07-18,1290.47,EyeCare Smallville,BigTown
INV-000363,2025-01-01,692.81,EyeCare Smallville,BigTown
INV-000364,2025-07-03,4427.1,Eye Care BigTown,BigTown
INV-000365,2025-03-11,1565.97,EyeCare Smallville,Smallville
INV-000366,2025-04-27,1673.26,Eye Care BigTown,Smallville
INV-000367,2025-06-12,4335.06,Eye Care BigTown,Smallville
INV-000368,2025-08-01,1678.61,EyeCare Smallville,Smallville
INV-000369,2025-02-10,4416.56,Eye Care BigTown,Smallville
INV-000370,2025-06-26,4692.63,EyeCare Smallville,BigTown
INV-000371,2025-07-07,4547.72,Eye Care BigTown,Smallville
INV-000372,2025-06-30,3584.0,EyeCare Smallville,BigTown
INV-000373,2025-01-25,1757.85,Eye Care BigTown,BigTown
INV-000374,2025-08-09,4760.12,EyeCare Smallville,Smallville
INV-000375,2025-05-17,3835.62,Eye Care BigTown,Smallville
INV-000376,2025-03-26,1059.15,Eye Care BigTown,Smallville
INV-000377,2025-08-27,4661.2,Eye Care BigTown,Smallville
INV-000378,2025-06-03,2269.86,EyeCare Smallville,BigTown
INV-000379,2025-05-28,1830.2,Eye Care BigTown,Smallville
INV-000380,2025-08-14,3330.92,EyeCare Smallville,BigTown
INV-000381,2025-06-20,1177.63,Eye Care BigTown,BigTown
INV-000382,2025-07-10,4017.2,Eye Care BigTown,BigTown
INV-000383,2025-08-31,4602.51,Eye Care BigTown,BigTown
INV-000384,2025-02-20,1827.18,EyeCare Smallville,BigTown
INV-000385,2025-05-25,4481.7,EyeCare Smallville,Smallville
INV-000386,2025-03-27,2364.1,Eye Care BigTown,Smallville
INV-000387,2025-03-16,4853.29,Eye Care BigTown,BigTown
INV-000388,2025-06-11,4490.83,Eye Care BigTown,Smallville
INV-000389,2025-06-27,2680.87,EyeCare Smallville,BigTown
INV-000390,2025-06-15,3327.11,EyeCare Smallville,BigTown
INV-000391,2025-01-02,4454.65,Eye Care BigTown,BigTown
INV-000392,2025-04-27,4388.54,Eye Care BigTown,BigTown
INV-000393,2025-05-26,4533.8,Eye Care BigTown,Smallville
INV-000394,2025-04-03,1213.15,EyeCare Smallville,BigTown
INV-000395,2025-06-05,3963.28,Eye Care BigTown,BigTown
INV-000396,2025-08-11,2880.98,Eye Care BigTown,Smallville
INV-000397,2025-07-04,3298.24,EyeCare Smallville,Smallville
INV-000398,2025-01-07,3695.14,Eye Care BigTown,BigTown
INV-000399,2025-08-23,1336.01,Eye Care BigTown,Smallville
INV-000400,2025-04-11,2692.58,Eye Care BigTown,Smallville
INV-000401,2025-02-20,3881.58,Eye Care BigTown,BigTown
INV-000402,2025-07-28,902.06,Eye Care BigTown,BigTown
INV-000403,2025-06-29,3995.53,EyeCare Smallville,BigTown
INV-000404,2025-08-29,4761.89,EyeCare Smallville,BigTown
INV-000405,2025-05-18,4910.94,Eye Care BigTown,Smallville
INV-000406,2025-04-12,3674.78,Eye Care BigTown,BigTown
INV-000407,2025-08-30,1059.63,Eye Care BigTown,Smallville
INV-000408,2025-03-25,2086.21,EyeCare Smallville,Smallville
INV-000409,2025-06-23,4392.05,Eye Care BigTown,Smallville
INV-000410,2025-02-17,2758.38,Eye Care BigTown,Smallville
INV-000411,2025-03-30,1830.26,EyeCare Smallville,BigTown
INV-000412,2025-03-07,3801.54,EyeCare Smallville,Smallville
INV-000413,2025-01-02,2278.65,EyeCare Smallville,Smallville
INV-000414,2025-05-18,2178.12,EyeCare Smallville,Smallville
INV-000415,2025-08-05,2331.31,Eye Care BigTown,Smallville
INV-000416,2025-06-26,4513.72,EyeCare Smallville,Smallville
INV-000417,2025-04-17,2832.29,EyeCare Smallville,BigTown
INV-000418,2025-06-10,4030.53,EyeCare Smallville,Smallville
INV-000419,2025-01-18,1213.4,EyeCare Smallville,Smallville
INV-000420,2025-07-12,657.07,Eye Care BigTown,BigTown
INV-000421,2025-07-16,1376.33,EyeCare Smallville,Smallville
INV-000422,2025-06-26,2132.91,Eye Care BigTown,BigTown
INV-000423,2025-02-27,1099.51,Eye Care BigTown,BigTown
INV-000424,2025-04-15,4702.58,EyeCare Smallville,Smallville
